date,avg_air_temp
01/01/2015,30.27
02/01/2015,31.18
03/01/2015,30.41
04/01/2015,30.82
05/01/2015,31.08
06/01/2015,30.52
07/01/2015,31.09
08/01/2015,30.55
09/01/2015,30.16
10/01/2015,30.07
11/01/2015,29.28
12/01/2015,29.61
13/01/2015,29.78
14/01/2015,30.14
15/01/2015,29.85
16/01/2015,30.88
17/01/2015,30.45
18/01/2015,30.23
19/01/2015,29.96
20/01/2015,29.65
21/01/2015,29.36
22/01/2015,30.17
23/01/2015,30.31
24/01/2015,30.53
25/01/2015,30.57
26/01/2015,30.43
27/01/2015,30.43
28/01/2015,30.2
29/01/2015,30.71
30/01/2015,30.66
31/01/2015,30.37
01/02/2015,30.94
02/02/2015,30.61
03/02/2015,30.35
04/02/2015,31.38
05/02/2015,31.28
06/02/2015,31.53
07/02/2015,31.29
08/02/2015,31.52
09/02/2015,31.06
10/02/2015,31.1
11/02/2015,30.98
12/02/2015,32.08
13/02/2015,32.69
14/02/2015,33.2
15/02/2015,34.02
16/02/2015,33.49
17/02/2015,33.65
18/02/2015,34.02
19/02/2015,33.02
20/02/2015,32.72
21/02/2015,33.51
22/02/2015,33.98
23/02/2015,34.13
24/02/2015,34.17
25/02/2015,34.15
26/02/2015,33.82
27/02/2015,33.81
28/02/2015,32.35
01/03/2015,29.86
02/03/2015,31.12
03/03/2015,32.48
04/03/2015,32.9
05/03/2015,34.07
06/03/2015,33.83
07/03/2015,32.96
08/03/2015,33.2
09/03/2015,32.1
10/03/2015,33.66
11/03/2015,33.72
12/03/2015,33.83
13/03/2015,34.77
14/03/2015,34.34
15/03/2015,34.67
16/03/2015,34.53
17/03/2015,34.77
18/03/2015,36.1
19/03/2015,35.13
20/03/2015,35.42
21/03/2015,35.7
22/03/2015,37
23/03/2015,36.8
24/03/2015,36.69
25/03/2015,36.02
26/03/2015,34.99
27/03/2015,35.45
28/03/2015,35.71
29/03/2015,35.9
30/03/2015,35.1
31/03/2015,34.61
01/04/2015,35.99
02/04/2015,37.02
03/04/2015,37.66
04/04/2015,38.11
05/04/2015,37.76
06/04/2015,37.11
07/04/2015,37.18
08/04/2015,36.39
09/04/2015,36.35
10/04/2015,36.75
11/04/2015,34.55
12/04/2015,31.59
13/04/2015,32.66
14/04/2015,31.53
15/04/2015,31.01
16/04/2015,32.77
17/04/2015,33.82
18/04/2015,36.4
19/04/2015,36.33
20/04/2015,37.03
21/04/2015,37.62
22/04/2015,38.13
23/04/2015,38.25
24/04/2015,34.57
25/04/2015,36.01
26/04/2015,35.44
27/04/2015,36.19
28/04/2015,37.92
29/04/2015,37.39
30/04/2015,39.01
01/05/2015,39.38
02/05/2015,39.97
03/05/2015,38.85
04/05/2015,37.29
05/05/2015,37.06
06/05/2015,37.58
07/05/2015,37.96
08/05/2015,39.25
09/05/2015,38.89
10/05/2015,37.53
11/05/2015,37.67
12/05/2015,38.45
13/05/2015,37.29
14/05/2015,37.3
15/05/2015,37.54
16/05/2015,35.81
17/05/2015,36.1
18/05/2015,39.48
19/05/2015,41.41
20/05/2015,43.11
21/05/2015,43.57
22/05/2015,44.62
23/05/2015,44.39
24/05/2015,44.34
25/05/2015,43.81
26/05/2015,44.01
27/05/2015,43.5
28/05/2015,41.93
29/05/2015,42.85
30/05/2015,42.82
31/05/2015,41.77
01/06/2015,36.77
02/06/2015,39.26
03/06/2015,38.01
04/06/2015,39.19
05/06/2015,38.1
06/06/2015,34.05
07/06/2015,35.31
08/06/2015,34.94
09/06/2015,34.91
10/06/2015,39.33
11/06/2015,40.71
12/06/2015,35.01
13/06/2015,35.89
14/06/2015,32.79
15/06/2015,33.65
16/06/2015,32
17/06/2015,32.11
18/06/2015,29.37
19/06/2015,30.38
20/06/2015,29.58
21/06/2015,31.36
22/06/2015,33.77
23/06/2015,34.98
24/06/2015,35.45
25/06/2015,36.41
26/06/2015,36.34
27/06/2015,36.93
28/06/2015,37.18
29/06/2015,37.78
30/06/2015,37.56
01/07/2015,37.4
02/07/2015,36.48
03/07/2015,36.51
04/07/2015,38.22
05/07/2015,38.52
06/07/2015,38.13
07/07/2015,38.21
08/07/2015,37.61
09/07/2015,37.62
10/07/2015,36.93
11/07/2015,37.31
12/07/2015,38.8
13/07/2015,39.42
14/07/2015,38.28
15/07/2015,35.71
16/07/2015,36.41
17/07/2015,37.08
18/07/2015,37.16
19/07/2015,36.07
20/07/2015,36.11
21/07/2015,36.13
22/07/2015,33.43
23/07/2015,35.12
24/07/2015,36.09
25/07/2015,36.45
26/07/2015,35.37
27/07/2015,36.48
28/07/2015,37.38
29/07/2015,36.79
30/07/2015,36.72
31/07/2015,36.59
01/08/2015,36.55
02/08/2015,36.4
03/08/2015,35.93
04/08/2015,34.7
05/08/2015,35.38
06/08/2015,34.68
07/08/2015,34.53
08/08/2015,34.74
09/08/2015,34.17
10/08/2015,34.63
11/08/2015,33.82
12/08/2015,30.36
13/08/2015,31.87
14/08/2015,35.04
15/08/2015,36.08
16/08/2015,31.64
17/08/2015,35.04
18/08/2015,35.3
19/08/2015,35.99
20/08/2015,34.4
21/08/2015,33.95
22/08/2015,32.49
23/08/2015,34.59
24/08/2015,35.65
25/08/2015,35.72
26/08/2015,33.54
27/08/2015,32.44
28/08/2015,33.88
29/08/2015,33.98
30/08/2015,34.08
31/08/2015,34.54
01/09/2015,34.95
02/09/2015,35.76
03/09/2015,35.66
04/09/2015,35.9
05/09/2015,35.86
06/09/2015,35.08
07/09/2015,32.89
08/09/2015,33.58
09/09/2015,33.68
10/09/2015,33.34
11/09/2015,33.73
12/09/2015,31.75
13/09/2015,32.61
14/09/2015,31.55
15/09/2015,32.15
16/09/2015,32.26
17/09/2015,32.18
18/09/2015,33.97
19/09/2015,31.73
20/09/2015,31.68
21/09/2015,33.71
22/09/2015,34.81
23/09/2015,35.32
24/09/2015,36.35
25/09/2015,36.33
26/09/2015,33.5
27/09/2015,34.85
28/09/2015,34.13
29/09/2015,33.89
30/09/2015,32.19
01/10/2015,32.58
02/10/2015,33.16
03/10/2015,33.81
04/10/2015,33.59
05/10/2015,33.93
06/10/2015,34.4
07/10/2015,34.5
08/10/2015,34.54
09/10/2015,34.6
10/10/2015,36
11/10/2015,35.16
12/10/2015,36.18
13/10/2015,36.19
14/10/2015,35.82
15/10/2015,35.15
16/10/2015,34.36
17/10/2015,34.06
18/10/2015,34.64
19/10/2015,35.02
20/10/2015,35.27
21/10/2015,35.6
22/10/2015,35.63
23/10/2015,35.86
24/10/2015,34.99
25/10/2015,34.16
26/10/2015,34.34
27/10/2015,34.75
28/10/2015,33.44
29/10/2015,33.95
30/10/2015,33.26
31/10/2015,32.26
01/11/2015,33.22
02/11/2015,32.84
03/11/2015,33.31
04/11/2015,34.11
05/11/2015,34.16
06/11/2015,34.56
07/11/2015,33.74
08/11/2015,33.3
09/11/2015,30
10/11/2015,29.57
11/11/2015,32.27
12/11/2015,33.43
13/11/2015,33.49
14/11/2015,32.92
15/11/2015,32.2
16/11/2015,26.27
17/11/2015,26.41
18/11/2015,29.76
19/11/2015,29.64
20/11/2015,29.35
21/11/2015,31.16
22/11/2015,31.61
23/11/2015,32.13
24/11/2015,32.46
25/11/2015,31.67
26/11/2015,32.23
27/11/2015,32.75
28/11/2015,32.23
29/11/2015,31.64
30/11/2015,30.16
01/12/2015,30.23
02/12/2015,29.3
03/12/2015,32.17
04/12/2015,32.33
05/12/2015,31.97
06/12/2015,30.92
07/12/2015,31.65
08/12/2015,31.64
09/12/2015,30.86
10/12/2015,31.97
11/12/2015,32.41
12/12/2015,33.59
13/12/2015,33.04
14/12/2015,33.28
15/12/2015,32.78
16/12/2015,32.98
17/12/2015,32.86
18/12/2015,32.76
19/12/2015,32.66
20/12/2015,32.27
21/12/2015,32.54
22/12/2015,33.13
23/12/2015,32.99
24/12/2015,32.93
25/12/2015,31.16
26/12/2015,29.37
27/12/2015,30.57
28/12/2015,31.73
29/12/2015,32.86
30/12/2015,32.77
31/12/2015,31.56
01/01/2016,32.22
02/01/2016,32.16
03/01/2016,32.95
04/01/2016,32.15
05/01/2016,31.56
06/01/2016,31.44
07/01/2016,31.49
08/01/2016,31.75
09/01/2016,32.09
10/01/2016,32.05
11/01/2016,32.05
12/01/2016,32.14
13/01/2016,31.31
14/01/2016,31.69
15/01/2016,31.33
16/01/2016,31.43
17/01/2016,31.4
18/01/2016,31.51
19/01/2016,30.39
20/01/2016,28.39
21/01/2016,30.16
22/01/2016,29.81
23/01/2016,30.22
24/01/2016,30.66
25/01/2016,30.9
26/01/2016,31.15
27/01/2016,32.51
28/01/2016,33.37
29/01/2016,33.79
30/01/2016,33.61
31/01/2016,34.69
01/02/2016,34.91
02/02/2016,34.72
03/02/2016,34.22
04/02/2016,34.05
05/02/2016,33.16
06/02/2016,33.57
07/02/2016,33.26
08/02/2016,33.13
09/02/2016,33.5
10/02/2016,34.13
11/02/2016,33.81
12/02/2016,33.89
13/02/2016,33.94
14/02/2016,33.41
15/02/2016,33.66
16/02/2016,33.5
17/02/2016,33.61
18/02/2016,34.3
19/02/2016,35.38
20/02/2016,35.97
21/02/2016,36.17
22/02/2016,36.14
23/02/2016,35.14
24/02/2016,35.12
25/02/2016,34.63
26/02/2016,33.69
27/02/2016,34.04
28/02/2016,33.6
29/02/2016,33.83
01/03/2016,33.32
02/03/2016,33.54
03/03/2016,33.92
04/03/2016,34.7
05/03/2016,34.83
06/03/2016,35.21
07/03/2016,34.75
08/03/2016,35.15
09/03/2016,35.13
10/03/2016,36.43
11/03/2016,36.1
12/03/2016,36.52
13/03/2016,36.38
14/03/2016,35.54
15/03/2016,34.97
16/03/2016,35.64
17/03/2016,36
18/03/2016,36.84
19/03/2016,37.63
20/03/2016,38.83
21/03/2016,39.16
22/03/2016,39.07
23/03/2016,38.49
24/03/2016,36.78
25/03/2016,36.1
26/03/2016,36.8
27/03/2016,36.98
28/03/2016,36.06
29/03/2016,36.28
30/03/2016,36.94
31/03/2016,36.8
01/04/2016,37.1
02/04/2016,37.47
03/04/2016,37.9
04/04/2016,37.92
05/04/2016,38.09
06/04/2016,38.1
07/04/2016,38.58
08/04/2016,37.81
09/04/2016,37.33
10/04/2016,37.86
11/04/2016,39.09
12/04/2016,39.12
13/04/2016,40.35
14/04/2016,39.52
15/04/2016,39.45
16/04/2016,39.07
17/04/2016,39.29
18/04/2016,38.09
19/04/2016,38.32
20/04/2016,38.91
21/04/2016,40.12
22/04/2016,41.29
23/04/2016,42.13
24/04/2016,41.96
25/04/2016,40.75
26/04/2016,39.73
27/04/2016,39.35
28/04/2016,40.54
29/04/2016,40.82
30/04/2016,40.84
01/05/2016,41.17
02/05/2016,40.65
03/05/2016,40.03
04/05/2016,39.76
05/05/2016,37.25
06/05/2016,34.21
07/05/2016,37.75
08/05/2016,37.78
09/05/2016,37.96
10/05/2016,37.78
11/05/2016,38.23
12/05/2016,39.44
13/05/2016,40.02
14/05/2016,39.91
15/05/2016,38.83
16/05/2016,37.97
17/05/2016,36.16
18/05/2016,33.1
19/05/2016,30.84
20/05/2016,35.95
21/05/2016,39.99
22/05/2016,42.19
23/05/2016,42.47
24/05/2016,42.68
25/05/2016,42.25
26/05/2016,42.7
27/05/2016,42.44
28/05/2016,40.57
29/05/2016,38.77
30/05/2016,41.53
31/05/2016,41.35
01/06/2016,41.72
02/06/2016,36.07
03/06/2016,39.17
04/06/2016,32.77
05/06/2016,36.38
06/06/2016,35.06
07/06/2016,33.76
08/06/2016,32.65
09/06/2016,36.32
10/06/2016,37.76
11/06/2016,37.22
12/06/2016,37.72
13/06/2016,37.51
14/06/2016,37.7
15/06/2016,38.93
16/06/2016,39.25
17/06/2016,37.07
18/06/2016,31.95
19/06/2016,32.24
20/06/2016,32.45
21/06/2016,36.01
22/06/2016,35.85
23/06/2016,37.03
24/06/2016,35.99
25/06/2016,35.01
26/06/2016,32.14
27/06/2016,32.26
28/06/2016,30.76
29/06/2016,29.48
30/06/2016,31.21
01/07/2016,33.47
02/07/2016,34.47
03/07/2016,34.05
04/07/2016,35.28
05/07/2016,34.59
06/07/2016,35.54
07/07/2016,34.5
08/07/2016,33.22
09/07/2016,32.75
10/07/2016,32.46
11/07/2016,32.66
12/07/2016,34.74
13/07/2016,35.88
14/07/2016,37.07
15/07/2016,37.59
16/07/2016,35.61
17/07/2016,34.63
18/07/2016,35.69
19/07/2016,31.49
20/07/2016,33.39
21/07/2016,33.27
22/07/2016,32.12
23/07/2016,32.95
24/07/2016,31.98
25/07/2016,33.95
26/07/2016,33.65
27/07/2016,32.82
28/07/2016,33.95
29/07/2016,32.49
30/07/2016,33.53
31/07/2016,32.03
01/08/2016,30.63
02/08/2016,30.81
03/08/2016,31.07
04/08/2016,31.79
05/08/2016,33.35
06/08/2016,33.58
07/08/2016,34.52
08/08/2016,35.51
09/08/2016,35.45
10/08/2016,35.71
11/08/2016,35.66
12/08/2016,35.46
13/08/2016,35.74
14/08/2016,34.65
15/08/2016,34.81
16/08/2016,34.22
17/08/2016,35.45
18/08/2016,36.07
19/08/2016,36.24
20/08/2016,36.93
21/08/2016,37.02
22/08/2016,36.37
23/08/2016,36.55
24/08/2016,36.52
25/08/2016,32.57
26/08/2016,33.42
27/08/2016,32.81
28/08/2016,33.6
29/08/2016,32.87
30/08/2016,29.47
31/08/2016,31.1
01/09/2016,33.36
02/09/2016,33.51
03/09/2016,32.89
04/09/2016,32.67
05/09/2016,33.27
06/09/2016,33.92
07/09/2016,34.15
08/09/2016,34.65
09/09/2016,34.21
10/09/2016,31.23
11/09/2016,30.21
12/09/2016,30.2
13/09/2016,29.07
14/09/2016,28.81
15/09/2016,29.26
16/09/2016,31.86
17/09/2016,31.89
18/09/2016,32.7
19/09/2016,32.55
20/09/2016,31.74
21/09/2016,28.5
22/09/2016,30.14
23/09/2016,28.63
24/09/2016,30.5
25/09/2016,30.68
26/09/2016,31.44
27/09/2016,31.87
28/09/2016,32.57
29/09/2016,32.91
30/09/2016,32.33
01/10/2016,30.9
02/10/2016,32.16
03/10/2016,32.8
04/10/2016,33.58
05/10/2016,33.93
06/10/2016,34.31
07/10/2016,33.66
08/10/2016,31.43
09/10/2016,31.12
10/10/2016,32.3
11/10/2016,34.25
12/10/2016,34.79
13/10/2016,34.57
14/10/2016,34.23
15/10/2016,34.07
16/10/2016,33.8
17/10/2016,34.02
18/10/2016,34.02
19/10/2016,34.32
20/10/2016,33.82
21/10/2016,33.92
22/10/2016,34.21
23/10/2016,34.76
24/10/2016,34.07
25/10/2016,34.45
26/10/2016,34.79
27/10/2016,34.35
28/10/2016,33.6
29/10/2016,32.41
30/10/2016,32.95
31/10/2016,32.69
01/11/2016,33.37
02/11/2016,32.92
03/11/2016,33.84
04/11/2016,34.42
05/11/2016,34
06/11/2016,33.3
07/11/2016,33.25
08/11/2016,32.89
09/11/2016,33.01
10/11/2016,32.79
11/11/2016,32.33
12/11/2016,31.84
13/11/2016,32.42
14/11/2016,32.9
15/11/2016,32.94
16/11/2016,32.33
17/11/2016,31.88
18/11/2016,31.9
19/11/2016,31.73
20/11/2016,31.81
21/11/2016,32.26
22/11/2016,32.93
23/11/2016,32.23
24/11/2016,32.1
25/11/2016,32.47
26/11/2016,33.24
27/11/2016,34.06
28/11/2016,33.72
29/11/2016,32.45
30/11/2016,31.16
01/12/2016,31.9
02/12/2016,31.06
03/12/2016,32.12
04/12/2016,31.99
05/12/2016,31.67
06/12/2016,30.82
07/12/2016,31.75
08/12/2016,32.01
09/12/2016,31.53
10/12/2016,30.57
11/12/2016,30.61
12/12/2016,30.07
13/12/2016,29.32
14/12/2016,29.64
15/12/2016,30.33
16/12/2016,30.54
17/12/2016,31.5
18/12/2016,31.21
19/12/2016,30.98
20/12/2016,30.88
21/12/2016,32.1
22/12/2016,32.27
23/12/2016,31.99
24/12/2016,31.04
25/12/2016,31.01
26/12/2016,31.8
27/12/2016,31.52
28/12/2016,30.67
29/12/2016,30.2
30/12/2016,30.73
31/12/2016,30.98
01/01/2017,31.23
02/01/2017,31.08
03/01/2017,31.02
04/01/2017,30.58
05/01/2017,31
06/01/2017,30.97
07/01/2017,30.89
08/01/2017,30.72
09/01/2017,31.07
10/01/2017,30.51
11/01/2017,31.08
12/01/2017,30.4
13/01/2017,29.72
14/01/2017,29.9
15/01/2017,30.24
16/01/2017,30.48
17/01/2017,30.56
18/01/2017,30.49
19/01/2017,30.25
20/01/2017,31.19
21/01/2017,31.86
22/01/2017,32.04
23/01/2017,31.69
24/01/2017,31.45
25/01/2017,31.1
26/01/2017,29.26
27/01/2017,30.84
28/01/2017,31.84
29/01/2017,32.2
30/01/2017,32.15
31/01/2017,32.36
01/02/2017,32.14
02/02/2017,31.4
03/02/2017,31.57
04/02/2017,31.74
05/02/2017,31.89
06/02/2017,32.96
07/02/2017,33.58
08/02/2017,34.15
09/02/2017,33.48
10/02/2017,32.71
11/02/2017,32.19
12/02/2017,31.42
13/02/2017,32.18
14/02/2017,32.68
15/02/2017,32.32
16/02/2017,32.59
17/02/2017,32.93
18/02/2017,33.19
19/02/2017,34.73
20/02/2017,36.43
21/02/2017,36.12
22/02/2017,35.43
23/02/2017,36.11
24/02/2017,35.96
25/02/2017,34.59
26/02/2017,34.03
27/02/2017,33.74
28/02/2017,34.09
01/03/2017,34.2
02/03/2017,34.58
03/03/2017,34.68
04/03/2017,35.05
05/03/2017,34.76
06/03/2017,35.08
07/03/2017,34.54
08/03/2017,34.77
09/03/2017,34.46
10/03/2017,34.55
11/03/2017,35.76
12/03/2017,35.05
13/03/2017,35.23
14/03/2017,34.5
15/03/2017,34.14
16/03/2017,33.9
17/03/2017,35.08
18/03/2017,35.58
19/03/2017,35.35
20/03/2017,35.99
21/03/2017,35.78
22/03/2017,35.89
23/03/2017,36.12
24/03/2017,36.76
25/03/2017,36.86
26/03/2017,36.88
27/03/2017,36.47
28/03/2017,36.35
29/03/2017,37
30/03/2017,37.52
31/03/2017,37.28
01/04/2017,37.76
02/04/2017,37.98
03/04/2017,37.2
04/04/2017,36.66
05/04/2017,37.18
06/04/2017,37.97
07/04/2017,38.2
08/04/2017,38.07
09/04/2017,37.64
10/04/2017,37.76
11/04/2017,38.32
12/04/2017,38.14
13/04/2017,37.76
14/04/2017,36.74
15/04/2017,37.93
16/04/2017,38.99
17/04/2017,40.05
18/04/2017,38.79
19/04/2017,38.88
20/04/2017,39.13
21/04/2017,39.71
22/04/2017,40.35
23/04/2017,40.68
24/04/2017,39.91
25/04/2017,39.82
26/04/2017,40.05
27/04/2017,39.64
28/04/2017,39.63
29/04/2017,39.27
30/04/2017,38.3
01/05/2017,37.8
02/05/2017,37.3
03/05/2017,37.88
04/05/2017,38.53
05/05/2017,39.23
06/05/2017,38.67
07/05/2017,36.58
08/05/2017,38.78
09/05/2017,38.67
10/05/2017,36.41
11/05/2017,37.32
12/05/2017,38.1
13/05/2017,39.3
14/05/2017,40.88
15/05/2017,41.31
16/05/2017,43.68
17/05/2017,41.4
18/05/2017,44.23
19/05/2017,42.55
20/05/2017,42.19
21/05/2017,41.98
22/05/2017,41.46
23/05/2017,42.14
24/05/2017,41.24
25/05/2017,40.84
26/05/2017,40.9
27/05/2017,38.57
28/05/2017,39.04
29/05/2017,41.24
30/05/2017,41.26
31/05/2017,41.35
01/06/2017,40.64
02/06/2017,40.49
03/06/2017,41
04/06/2017,39.73
05/06/2017,41.48
06/06/2017,37.89
07/06/2017,34.75
08/06/2017,32.92
09/06/2017,35.7
10/06/2017,36.18
11/06/2017,35.2
12/06/2017,35.02
13/06/2017,33.87
14/06/2017,35.4
15/06/2017,33.09
16/06/2017,31.92
17/06/2017,35.28
18/06/2017,35.77
19/06/2017,33.41
20/06/2017,33.84
21/06/2017,35.6
22/06/2017,37.38
23/06/2017,35.06
24/06/2017,35.88
25/06/2017,35.05
26/06/2017,33.93
27/06/2017,35.04
28/06/2017,33.01
29/06/2017,34.99
30/06/2017,34.75
01/07/2017,33.72
02/07/2017,35.4
03/07/2017,35.77
04/07/2017,35.57
05/07/2017,36.67
06/07/2017,34.12
07/07/2017,32.53
08/07/2017,34.25
09/07/2017,34.27
10/07/2017,36.11
11/07/2017,33.31
12/07/2017,33.49
13/07/2017,31.5
14/07/2017,31.17
15/07/2017,32.05
16/07/2017,31.34
17/07/2017,29.25
18/07/2017,28.34
19/07/2017,32.76
20/07/2017,33.37
21/07/2017,35.07
22/07/2017,35.56
23/07/2017,35.75
24/07/2017,35.31
25/07/2017,35.86
26/07/2017,36.24
27/07/2017,35.96
28/07/2017,35.67
29/07/2017,34.48
30/07/2017,35.9
31/07/2017,35.86
01/08/2017,36.02
02/08/2017,34.32
03/08/2017,35.55
04/08/2017,35.02
05/08/2017,33.25
06/08/2017,35.55
07/08/2017,35.14
08/08/2017,32.99
09/08/2017,29.82
10/08/2017,33.75
11/08/2017,33.91
12/08/2017,32.25
13/08/2017,30.26
14/08/2017,32.99
15/08/2017,34.72
16/08/2017,34.38
17/08/2017,32.3
18/08/2017,28.68
19/08/2017,28.44
20/08/2017,30.52
21/08/2017,33.45
22/08/2017,34.59
23/08/2017,34.68
24/08/2017,32.25
25/08/2017,29.31
26/08/2017,32.04
27/08/2017,30.87
28/08/2017,30.17
29/08/2017,31.65
30/08/2017,34.24
